         2717892 function calls (2667351 primitive calls) in 12.839 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.254    0.254 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/data/ops/iterator_ops.py:1(<module>)
        1    0.000    0.000    0.252    0.252 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/lite/python/util.py:1(<module>)
        1    0.000    0.000    0.249    0.249 /home/mgama1/anaconda3/lib/python3.11/site-packages/pandas/core/window/__init__.py:1(<module>)
        1    0.005    0.005    0.247    0.247 /home/mgama1/anaconda3/lib/python3.11/site-packages/pyarrow/compute.py:306(_make_global_functions)
        1    0.000    0.000    0.244    0.244 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/distribute/cluster_resolver/tpu_cluster_resolver.py:1(<module>)
        1    0.000    0.000    0.244    0.244 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/eager/context.py:1(<module>)
        1    0.000    0.000    0.244    0.244 /home/mgama1/anaconda3/lib/python3.11/site-packages/keras/src/utils/summary_utils.py:1(<module>)
      261    0.005    0.000    0.242    0.001 /home/mgama1/anaconda3/lib/python3.11/site-packages/pyarrow/compute.py:290(_wrap_function)
        1    0.000    0.000    0.241    0.241 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/distribute/cluster_resolver/tpu/tpu_cluster_resolver.py:1(<module>)
        1    0.000    0.000    0.240    0.240 /home/mgama1/anaconda3/lib/python3.11/site-packages/pandas/core/window/ewm.py:1(<module>)
     2518    0.046    0.000    0.239    0.000 /home/mgama1/anaconda3/lib/python3.11/typing.py:1360(__init__)
        1    0.000    0.000    0.235    0.235 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/keras/engine/training_v1.py:1(<module>)
        1    0.001    0.001    0.234    0.234 /home/mgama1/anaconda3/lib/python3.11/site-packages/rich/console.py:1(<module>)
        1    0.000    0.000    0.230    0.230 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/eager/execute.py:1(<module>)
     1447    0.039    0.000    0.228    0.000 /home/mgama1/anaconda3/lib/python3.11/typing.py:1026(__init__)
        1    0.000    0.000    0.227    0.227 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/tpu/tpu_strategy_util.py:1(<module>)
     9654    0.037    0.000    0.225    0.000 /home/mgama1/anaconda3/lib/python3.11/typing.py:2217(__class_getitem__)
        1    0.006    0.006    0.222    0.222 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/tpu/tpu.py:1(<module>)
    19557    0.138    0.000    0.222    0.000 /home/mgama1/anaconda3/lib/python3.11/typing.py:168(_type_check)
        1    0.000    0.000    0.215    0.215 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/array_ops_stack.py:1(<module>)
        1    0.000    0.000    0.214    0.214 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/keras/engine/training_arrays_v1.py:1(<module>)
        1    0.000    0.000    0.210    0.210 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/sort_ops.py:1(<module>)
        1    0.000    0.000    0.207    0.207 /home/mgama1/anaconda3/lib/python3.11/site-packages/keras/src/activations/activations.py:1(<module>)
        1    0.000    0.000    0.205    0.205 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/keras/engine/input_layer.py:1(<module>)
        1    0.002    0.002    0.205    0.205 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/nn_ops.py:1(<module>)
        1    0.009    0.009    0.203    0.203 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/ops/gen_array_ops.py:1(<module>)
        1    0.000    0.000    0.202    0.202 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/keras/engine/base_layer.py:1(<module>)
      236    0.006    0.000    0.201    0.001 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/util/dispatch.py:429(decorator)
      674    0.008    0.000    0.199    0.000 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/framework/registry.py:43(register)
        1    0.000    0.000    0.197    0.197 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/framework/override_binary_operator.py:1(<module>)
     5971    0.017    0.000    0.197    0.000 <frozen importlib._bootstrap>:392(cached)
      421    0.083    0.000    0.192    0.000 /home/mgama1/anaconda3/lib/python3.11/collections/__init__.py:350(namedtuple)
        1    0.002    0.002    0.187    0.187 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/lite/python/schema_py_generated.py:1(<module>)
